Location,Category,Amenity,Amenity Location,Name,Distance
"(39.10139, -84.51164)",Education,library,"(-84.5109365, 39.1006371)",Mercantile Library,78.66
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5127421, 39.1008837)",McCormick & Schmick's,131.184
"(39.10139, -84.51164)",Food and Drink,ice_cream,"(-84.5118525, 39.1014923)",Graeter's,0.0
"(39.10139, -84.51164)",Food and Drink,cafe,"(-84.5129052, 39.1000664)",Starbucks,304.97200000000004
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5099868, 39.1032493)",Izzy’s,365.556
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5080187, 39.1007927)",Skyline Chili,443.51099999999997
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5088211, 39.103277)",Red Fox Grill,443.452
"(39.10139, -84.51164)",Food and Drink,cafe,"(-84.5106791, 39.1027139)",Starbucks,370.408
"(39.10139, -84.51164)",Food and Drink,cafe,"(-84.5105457, 39.1007461)",Kitty’s Coffee,110.65
"(39.10139, -84.51164)",Services,post_office,"(-84.5138595, 39.1018523)",United States Post Office,237.32900000000004
"(39.10139, -84.51164)",Finance,bank,"(-84.5097812, 39.10269)",Cinfed Federal Credit Union,254.978
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5091698, 39.098157)",Galla Park,495.27500000000003
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5120515, 39.1008023)",Ingredients,106.09099999999998
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5131858, 39.1036172)",Madonna’s Bar & Grill,459.854
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5137986, 39.1035148)",Skyline Chili,417.565
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5141545, 39.1009046)",The Bar at Palm Court,293.49399999999997
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5151056, 39.1015708)",Americano,364.51200000000006
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5149044, 39.1011461)",Mita’s,456.86000000000007
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5119087, 39.1024091)",Bru Burger Bar,441.816
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.511453, 39.1025685)",Prime Cincinnati,441.816
"(39.10139, -84.51164)",Food and Drink,bar,"(-84.5100858, 39.1039354)",Corkopolis,442.469
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.510456, 39.1036482)",Crzy Monk,372.818
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5106674, 39.1043198)",Lalo Restaurant,474.021
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5143692, 39.100855)",Orchid’s at Palm Court,456.86000000000007
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5142801, 39.1008807)",The Grille at Palm Court,456.86000000000007
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5130975, 39.10095)",Morton's The Steakhouse,148.094
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5101335, 39.0974081)",Ruth's Chris Steak House,487.163
"(39.10139, -84.51164)",Food and Drink,bar,"(-84.5135462, 39.0992003)",O'Malley’s in the Alley,492.074
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5073798, 39.1004732)",Restaurant L,443.51099999999997
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5151463, 39.1018325)",Maplewood Kitchen and Bar,379.999
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5120077, 39.103021)",Metropole,489.039
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.51133, 39.1025992)",Mr. Sushi,403.428
"(39.10139, -84.51164)",Food and Drink,bar,"(-84.5151776, 39.1019787)",Tokyo Kitty,379.999
"(39.10139, -84.51164)",Food and Drink,bar,"(-84.5124206, 39.100223)",Aster Social Sippery,297.851
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5130369, 39.1006993)",Subway,187.79699999999997
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5129173, 39.1019407)",Chipotle,195.767
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5101034, 39.104006)",Penn Station,442.469
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5138771, 39.1041273)",Jean-Robert’s Table,470.872
"(39.10139, -84.51164)",Finance,bank,"(-84.5114679, 39.1010969)",U.S. Bank,20.046999999999997
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5111111, 39.1009709)",Subway,78.66
"(39.10139, -84.51164)",Finance,bank,"(-84.5112041, 39.1000312)",KeyBank,146.377
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5117125, 39.1015237)",Dunkin',0.0
"(39.10139, -84.51164)",Finance,bank,"(-84.5134181, 39.1020074)",Huntington Bank,247.25
"(39.10139, -84.51164)",Food and Drink,cafe,"(-84.5134695, 39.1019757)",Kidd Coffee,247.25
"(39.10139, -84.51164)",Finance,atm,"(-84.50793, 39.1004403)",,443.51099999999997
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5136008, 39.0999503)",Domino's,315.59099999999995
"(39.10139, -84.51164)",Finance,atm,"(-84.5129283, 39.1002483)",,331.444
"(39.10139, -84.51164)",Finance,bank,"(-84.5134019, 39.1035813)",PNC Bank,417.565
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5118826, 39.100732)",Dunkin',121.21699999999998
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5108937, 39.1011904)",Currito,65.819
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5136343, 39.1009721)",Frisch's Big Boy,293.49399999999997
"(39.10139, -84.51164)",Finance,bank,"(-84.5131459, 39.1010521)",Chase,171.529
"(39.10139, -84.51164)",Food and Drink,bar,"(-84.5149087, 39.0994661)",Bromwell’s HÄRTH Lounge,440.452
"(39.10139, -84.51164)",Finance,bank,"(-84.5092653, 39.1014489)",PNC Bank,163.805
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5110336, 39.1026395)",,403.428
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.510308, 39.1027626)",,300.993
"(39.10139, -84.51164)",Food and Drink,fast_food,"(-84.5119255, 39.1020214)",Potbelly,417.021
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5123038, 39.1001217)",Sleepy Bee Cafe,279.91
"(39.10139, -84.51164)",Food and Drink,bar,"(-84.5120517, 39.1035548)",Horse & Barrel,489.039
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5132958, 39.1013143)",Royce,157.33800000000002
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.513341, 39.1015673)",Jeff Ruby’s Steakhouse,191.716
"(39.10139, -84.51164)",Finance,atm,"(-84.5122799, 39.0999185)",First Financial Bank,279.91
"(39.10139, -84.51164)",Finance,bank,"(-84.5124339, 39.0998479)",First Financial Bank,279.91
"(39.10139, -84.51164)",Food and Drink,cafe,"(-84.511325, 39.1022283)",Urbana Cafe,384.314
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5132905, 39.103161)",HARU,347.549
"(39.10139, -84.51164)",Transportation,bus_station,"(-84.51058019933753, 39.10153960228904)",Government Square Transit Center,80.97
"(39.10139, -84.51164)",Entertainment,theatre,"(-84.50769352265218, 39.10156729627033)",Taft Theatre,327.63200000000006
"(39.10139, -84.51164)",Religion,place_of_worship,"(-84.50742703738513, 39.10093692650746)",Christ Church Cathedral,443.51099999999997
"(39.10139, -84.51164)",Religion,place_of_worship,"(-84.50768845112883, 39.10118545168842)",Centennial Chapel,380.012
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.511221492564, 39.102993683791325)",Boca,443.329
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.51224461613796, 39.10337924663275)",Nicholson's Tavern & Pub,489.039
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.51572521924484, 39.10226049339271)",Rusconi’s Pizza,487.684
"(39.10139, -84.51164)",Services,courthouse,"(-84.51066850770442, 39.101893256528555)",Potter Stewart U.S. Courthouse,106.762
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.51139732029998, 39.10298158342939)",Nada Cincinnati,443.329
"(39.10139, -84.51164)",Food and Drink,restaurant,"(-84.5111089818188, 39.1030103768751)",Sotto,443.329
"(39.10435, -84.51894)",Entertainment,theatre,"(-84.5156039, 39.1038599)",,446.54299999999995
"(39.10435, -84.51894)",Food and Drink,restaurant,"(-84.5151206, 39.1036003)",Butcher and Barrell,430.24099999999993
"(39.10435, -84.51894)",Food and Drink,restaurant,"(-84.5152316, 39.106307)",Court Street Lobster Bar,475.77799999999996
"(39.10435, -84.51894)",Food and Drink,bar,"(-84.5153191, 39.106282)",Queen City Exchange,475.77799999999996
"(39.10435, -84.51894)",Food and Drink,restaurant,"(-84.5173844, 39.1059865)",Washington Platform Saloon,301.243
"(39.10435, -84.51894)",Food and Drink,restaurant,"(-84.5153086, 39.1049754)",The Presidents Room,353.805
"(39.10435, -84.51894)",Food and Drink,cafe,"(-84.5199982, 39.1039257)",BLOC Coffee Company,143.467
"(39.10435, -84.51894)",Food and Drink,restaurant,"(-84.5173114, 39.104253)",Raya Lebanese,372.35999999999996
"(39.10435, -84.51894)",Food and Drink,restaurant,"(-84.5167281, 39.103409)",Shanghai on Elm,290.10099999999994
"(39.10435, -84.51894)",Other,car_rental,"(-84.5168161, 39.1023957)",Hertz,357.28499999999997
