Location,Station ID,Category,Amenity,Amenity Location,Name,Distance
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,library,"(39.1006371, -84.5109365)",Mercantile Library,78.66
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1031756, -84.509386)",Shanghai Mama’s,370.76500000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1008837, -84.5127421)",McCormick & Schmick's,131.184
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bank,"(39.102135, -84.5121587)",Fifth Third Bank,299.322
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,ice_cream,"(39.1014923, -84.5118525)",Graeter's,0.0
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.1000664, -84.5129052)",Starbucks,269.657
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1032493, -84.5099868)",Izzy’s,365.49100000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.1003655, -84.5087266)",Starbucks,392.0780000000001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1007927, -84.5080187)",Skyline Chili,429.6550000000001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.103277, -84.5088211)",Red Fox Grill,435.3910000000001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1006136, -84.5156392)",Red Roost Tavern,362.88
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.1027139, -84.5106791)",Starbucks,231.51300000000003
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.1007461, -84.5105457)",Kitty’s Coffee,110.65
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,post_office,"(39.1018523, -84.5138595)",United States Post Office,237.32900000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bank,"(39.10269, -84.5097812)",Cinfed Federal Credit Union,254.978
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.0999904, -84.5085671)",,409.88700000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.098157, -84.5091698)",Galla Park,495.27500000000003
